AreEntitiesEntirelyInsideGarage	c	OBJECT	0x85B6C850546FDDE2	boolean	garageHash:Hash,p1:boolean,p2:boolean,p3:boolean,p4:any	
AreHeliStubWingsDeployed	c	VEHICLE	0xAEF12960FA943792	boolean	vehicle:Vehicle	
AreIntegersEqual	c	NETWORK	0xF5BC95857BD6D512	boolean	timeA:integer,timeB:integer	IsTimeEqualTo
AreNodesLoadedForArea	c	PATHFIND	0xF7B79A50B905A30D	boolean	x1:number,y1:number,x2:number,y2:number	
AreOutriggerLegsDeployed	c	VEHICLE	0x3A9128352EAC9E85	boolean	vehicle:Vehicle	
ArePathNodesLoadedInArea	c	PATHFIND	0xF7B79A50B905A30D	boolean	x1:number,y1:number,x2:number,y2:number	AreNodesLoadedForArea
ArePlaneControlPanelsIntact	c	VEHICLE	0xF78F94D60248C737	boolean	vehicle:Vehicle,checkForZeroHealth:boolean	
ArePlanePropellersIntact	c	VEHICLE	0x755D6D5267CBBD7E	boolean	plane:Vehicle	
ArePlaneWingsIntact	c	VEHICLE	0x5991A01434CE9677	boolean	plane:Vehicle	
ArePlayerFlashingStarsAboutToDrop	c	PLAYER	0xAFAF86043E5874E9	boolean	player:Player	
ArePlayerStarsGreyedOut	c	PLAYER	0x0A6EB355EE14A2DB	boolean	player:Player	
AreProfileSettingsValid	c	MISC	0x5AA3BEFA29F03AD4	boolean		
ArePropellersUndamaged	c	VEHICLE	0x755D6D5267CBBD7E	boolean	plane:Vehicle	ArePlanePropellersIntact
AreStringsEqual	c	MISC	0x0C515FAB3FF9EA92	boolean	string1:string,string2:string	
AreVehicleWingsIntact	c	VEHICLE	0x5991A01434CE9677	boolean	plane:Vehicle	ArePlaneWingsIntact
ArrayValueAddBoolean	c	DATAFILE	0xF8B0F5A43E928C76		arrayData:any,value:boolean	DataarrayAddBool
ArrayValueAddFloat	c	DATAFILE	0x57A995FD75D37F56		arrayData:any,value:number	DataarrayAddFloat
ArrayValueAddInteger	c	DATAFILE	0xCABDB751D86FE93B		arrayData:any,value:integer	DataarrayAddInt
ArrayValueAddObject	c	DATAFILE	0x6889498B3E19C797	any	arrayData:any	DataarrayAddDict
ArrayValueAddString	c	DATAFILE	0x2F0661C155AEEEAA		arrayData:any,value:string	DataarrayAddString
ArrayValueAddVector3	c	DATAFILE	0x407F8D034F70F0C2		arrayData:any,valueX:number,valueY:number,valueZ:number	DataarrayAddVector
ArrayValueGetBoolean	c	DATAFILE	0x50C1B2874E50C114	boolean	arrayData:any,arrayIndex:integer	DataarrayGetBool
ArrayValueGetFloat	c	DATAFILE	0xC0C527B525D7CFB5	number	arrayData:any,arrayIndex:integer	DataarrayGetFloat
ArrayValueGetInteger	c	DATAFILE	0x3E5AE19425CD74BE	integer	arrayData:any,arrayIndex:integer	DataarrayGetInt
ArrayValueGetObject	c	DATAFILE	0x8B5FADCC4E3A145F	any	arrayData:any,arrayIndex:integer	DataarrayGetDict
ArrayValueGetSize	c	DATAFILE	0x065DB281590CEA2D	integer	arrayData:any	DataarrayGetCount
ArrayValueGetString	c	DATAFILE	0xD3F2FFEB8D836F52	string	arrayData:any,arrayIndex:integer	DataarrayGetString
